Mes_Año,Usuario,Metros cuadrados reales por rollo,tiempo_en_rollo,tiempo_en_horas,metros_por_hora
2021-09,tflores,12455.222,0 days 02:55:24,2.9233333333333333,4260.6232611174455
2021-10,JRODRIMA,17274.366,0 days 04:00:37,4.010277777777778,4307.523557525802
2021-10,acorpus,31472.756064,0 days 07:11:13,7.186944444444444,4379.156720534921
2021-10,alopezb,12284.595,0 days 02:59:01,2.983611111111111,4117.3579741178655
2021-10,eperezv,1287198.61705,11 days 20:42:12,284.7033333333333,4521.192646321902
2021-10,gilrodrigueza,3067.718916,0 days 00:44:12,0.7366666666666667,4164.32432036199
2021-10,grangel,1301239.825744,12 days 05:36:32,293.6088888888889,4431.881577796616
2021-10,iperalta,5036.148,0 days 01:29:34,1.4927777777777778,3373.67562337179
2021-10,jmatahe,1123871.224617,10 days 16:54:48,256.91333333333336,4374.514977620209
2021-10,jmlarar,1220008.581118,11 days 15:46:32,279.77555555555557,4360.6689608583065
2021-10,jtorrem,1312957.64876,13 days 02:00:29,314.00805555555553,4181.286516478258
2021-10,jtorresb,1404192.527085,11 days 23:58:28,287.97444444444443,4876.101175553772
2021-10,jtoscano,933412.8565989999,9 days 10:23:12,226.38666666666666,4123.09112697597
2021-11,JRODRIMA,9246.382,0 days 01:17:49,1.2969444444444445,7129.35857785393
2021-11,acorpus,39290.544,0 days 10:28:48,10.48,3749.0977099236643
2021-11,eperezv,339548.933,3 days 09:41:07,81.68527777777778,4156.794739974223
2021-11,gilrodrigueza,120105.279,0 days 22:34:53,22.58138888888889,5318.772888194555
2021-11,grangel,467802.176663,5 days 05:46:03,125.7675,3719.57919703421
2021-11,gsotor,2665.8720000000003,0 days 00:40:48,0.68,3920.4
2021-11,jdelira,1560.8880000000001,0 days 00:20:24,0.34,4590.84705882353
2021-11,jgalvana,176341.494,1 days 18:04:58,42.08277777777778,4190.348244861319
2021-11,jmatahe,1138921.531,11 days 14:54:12,278.9033333333333,4083.570882384578
2021-11,jmlarar,491635.512708,5 days 03:31:44,123.52888888888889,3979.923377682234
2021-11,jtorrem,550083.7930000001,5 days 16:42:56,136.71555555555557,4023.564039693118
2021-11,jtorresb,987072.8049999999,9 days 22:05:54,238.09833333333333,4145.651887525462
2021-11,jtoscano,1285675.941814,12 days 18:30:21,306.5058333333333,4194.621445967043
2021-11,llopez,5331.8,0 days 00:54:44,0.9122222222222223,5844.847746650426
2021-11,mcarrill,2274.516,0 days 00:33:04,0.5511111111111111,4127.145967741935
2021-11,rholten,999.7020000000001,0 days 00:11:57,0.19916666666666666,5019.424267782428
2021-12,JRODRIMA,11595.967999999999,0 days 04:50:56,4.848888888888889,2391.469110907424
2021-12,acorpus,15031.665212,0 days 03:56:20,3.938888888888889,3816.2196588998586
2021-12,alopezb,44433.45784,0 days 09:15:07,9.251944444444444,4802.607506650254
2021-12,eperezv,232500.174,2 days 20:09:18,68.155,3411.3443474433275
2021-12,gilrodrigueza,98411.391,0 days 21:50:45,21.845833333333335,4504.812862864772
2021-12,grangel,107713.004993,1 days 01:13:15,25.220833333333335,4270.794845253593
2021-12,iperalta,5055.848,0 days 00:55:54,0.9316666666666666,5426.670483005367
2021-12,jgalvana,274074.453,2 days 17:44:57,65.74916666666667,4168.485577763976
2021-12,jmatahe,1339335.29,12 days 22:39:42,310.6616666666667,4311.234483387608
2021-12,jmlarar,598293.127036,6 days 06:41:29,150.6913888888889,3970.32060987338
2021-12,jtorrem,232699.9708,2 days 13:48:03,61.80083333333334,3765.320922857027
2021-12,jtorresb,1078380.40403,10 days 22:48:15,262.8041666666667,4103.36113657508
2021-12,jtoscano,1549496.24254,15 days 14:18:51,374.31416666666667,4139.560776816266
2021-12,rholten,20323.9,0 days 04:49:55,4.831944444444445,4206.1534923828685
2021-12,tflores,11433.592,0 days 02:18:19,2.305277777777778,4959.745897096035
2022-01,JRODRIMA,16034.265,0 days 03:25:45,3.4291666666666667,4675.8488456865125
2022-01,alopezb,184329.75546000001,2 days 04:41:43,52.695277777777775,3498.0317636305176
2022-01,elopezt,11365.491,0 days 03:18:59,3.316388888888889,3427.068230170031
